RDT #,Short Name,File A,File B,File C
100,START,000,,
101,START SAVE,001,,
102,GRAVEYARD,002,003,
103,FIRST STEVE,004,005,
104,EMAIL,006,,
105,BARRACKS YARD,007,,
106,BARRACKS,008,,
107,BUNKHOUSE,009,,
108,EXECUTION YARD,010,,
109,SECURITY,011,,
10A,PRISON BRIDGE,012,,
10B,CLINIC,013,,
10C,CREMETORIUM,014,,
10D,CLINIC PASSAGE,015,,
10E,TORTURE CHAMBER,016,,
10F,STATUE,017,,
110,BOX YARD,018,,
200,PALACE COURTYARD,019,020,021
201,,,,
202,PALACE HALL,022,023,
203,PALACE BATHROOM,024,,
204,PALACE PORTRAITS,025,,
205,PALACE GUNS,026,,
206,PALACE MEETING,027,,
207,PALACE CORRIDOR,028,,
208,PALACE SECRETARY,029,,
209,PALACE OFFICE,030,,
20A,PALACE BRIDGE,031,,
20B,PALACE CASINO,032,,
20C,PALACE PASSAGE,033,034,035
20D,PALACE DOCK,036,,
20E,PALACE SUBMARINE,037,,
300,RESIDENCE COURTYARD,038,,
301,RESIDENCE ENTRANCE HALL,039,040,
302,RESIDENCE 1F DINING ROOM,041,,
303,RESIDENCE 2F BEDROOM CORRIDOR,042,043,
304,RESIDENCE 2F ALFREDS BEDROOM,044,,
305,RESIDENCE 2F ALEXIAS BEDROOM,045,,
306,RESIDENCE 3F PLAY ROOM,046,,
307,RESIDENCE 4F PRIVATE STUDY,047,,
400,MILITARY GARAGE,048,,
401,MILITARY BACK COURTYARD,049,050,
402,MILITARY TANK,051,,
403,MILITARY 1F ELEVATOR CORRIDOR,052,,
404,MILITARY DIORAMA,053,,
405,MILITARY LOCKERS,054,,
406,MILITARY SWIMMING,055,,
407,MILITARY FRONT OFFICE,056,,
408,MILITARY LOBBY,057,,
409,MILITARY EXERCISE YARD,058,059,
40A,MILITARY FIRST BANDERSNATCH,060,,
40B,MILITARY WAREHOUSE SAVE,061,,
40C,MILITARY COMMAND CENTER,062,,
40D,MILITARY EMERGENCY DOOR,063,,
40E,MILITARY SKELETON,064,,
40F,MILITARY 2F WAREHOUSE CORRIDOR,065,,
410,MILITARY B1 BASEMENT STOREHOUSE,066,,
411,MILITARY BOILER ROOM,067,,
412,MILITARY B1 TURN TABLE ROOM,068,,
413,MILITARY B1 CHEMICAL STORAGE,069,,
414,MILITARY B1 WEAPON REPAIR,070,,
415,MILITARY B1 IRON WALKWAY,071,,
416,MILITARY ELEVATOR,072,,
417,MILITARY CARGO ELEVATOR,073,,
418,MILITARY HALBERD,074,,
500,AIRPORT CHECK-IN,075,076,
501,AIRPORT BRIDGE,077,078,079
502,AIRPORT CARGO BAY,080,,
503,AIRPORT ENTRY,081,,
504,AIRPORT CARGO TRANSPORT,082,,
505,AIRPORT SUBMARINE,083,,
600,TRANSPORT PLANE COCKPIT,084,085,
601,TRANSPORT PLANE CARGO HOLD,086,,
700,ANTARTIC B1 SILO,087,,
701,ANTARTIC B1 WORKMANS BUNKHOUSE,088,,
702,ANTARTIC B1 TOOL STOREROOM,089,,
703,ANTARTIC B2 FROZEN CORRIDOR,090,,
704,ANTARTIC B2 OFFICE,091,,
705,ANTARTIC SORTING ROOM,092,093,
706,ANTARTIC MINING ROOM,094,,
707,ANTARTIC POWER ROOM,095,,
708,ANTARTIC B2 WEAPON ROOM,096,,
709,ANTARTIC B2 B.O.W. ROOM,097,,
70A,ANTARTIC 1F HELIPAD,098,,
800,MILITARY 1F TANK YARD,099,,
801,MILITARY ELEVATOR,100,,
802,MILITARY 1F DIORAMA,101,,
803,MILITARY 2F CONTROL,102,103,
804,MILITARY B1 WEAPON REPAIR,104,,
805,MILITARY B1 CHEMICAL STORAGE ROOM,105,,
806,MILITARY IRON WALKWAY,106,,
807,MILITARY SPECIMEN LAB,107,108,
808,MILITARY B2 JET HANGAR CORRIDOR,109,110,
809,MILITARY B2 CAPTINS ROOM,111,,
80A,MILITARY B2 WATER POOL,112,,
80B,MILITARY B1 TURN TABLE ROOM,113,,
80C,MILITARY GARAGE,114,,
80D,MILITARY 1F EXCERCISE YARD,115,,
80E,MILITARY BACK COURTYARD,116,,
80F,MILITARY 1F FRONT OFFICE,117,,
810,MILITARY 1F LOBBY,118,,
811,MILITARY 2F LOBBY,119,,
812,MILITARY 2F WAREHOUSE CORRIDOR,120,121,
813,MILITARY 1F ELEVATOR CORRIDOR,122,123,
814,MILITARY B1 BASEMENT STOREHOUSE,124,,
815,MILITARY B1 BOILER ROOM,125,,
816,MILITARY B3 TOMB,126,127,
817,MILITARY B3 WORM,128,129,
818,MILITARY B3 CAVE CINEMATIC,130,,
819,MILITARY B1 UNDERGROUND PASSAGE,131,,
900,AIRPORT CHECK-IN,132,133,
901,AIRPORT BRIDGE,134,,
902,AIRPORT CARGO BAY,135,,
903,AIRPORT BRIDGE CINEMATIC,136,,
904,AIRPORT CARGO TRANSPORT,137,,
905,AIRPORT ENTRY,138,,
A00,ANTARTIC B1 SILO,139,,
A01,ANTARTIC B1 WORKMANS BUNKHOUSE,140,,
A02,ANTARTIC B1 TOOL STOREROOM,141,,
A03,ANTARTIC B2 FROZEN CORRIDOR,142,,
A04,ANTARTIC B2 OFFICE,143,,
A05,ANTARTIC B1 SORTING ROOM,144,,
A06,ANTARTIC B1 MINING ROOM,145,,
A07,ANTARTIC B1 POWER ROOM,146,,
A08,ANTARTIC B2 WEAPON ROOM,147,,
A09,ANTARTIC B1 JET HANGER,148,149,
A0A,ANTARTIC B1 CORRIDOR,150,,
A0B,ANTARTIC B1 WATER TANK ROOM,151,,
A0C,ANTARTIC B5 ICY CORRIDOR,152,,
A0D,ANTARTIC B5 MANSION COURTYARD,153,,
A0E,ANTARTIC B5 HIGH VOLTAGE ROOM,154,,
A0F,ANTARTIC B5 MAIN HALL,155,,
A10,ANTARTIC B5 ART ROOM,156,,
A11,ANTARTIC B6 ANT FARM,157,,
A12,ANTARTIC B6 ALEXIAS LAB,158,,
A13,ANTARTIC B6 ALEXIAS STUDY,159,,
A14,ANTARTIC B4 BEDROOM CORRIDOR,160,,
A15,ANTARTIC B4 STUDY,161,,
A16,ANTARTIC B4 T-VERONICA LAB,162,,
A17,ANTARTIC B4 ALFREDS BEDROOM,163,,
A18,ANTARTIC B4 ALEXIAS BEDROOM,164,,
A19,ANTARTIC B3 CONFERENCE ROOM,165,,
A1A,ANTARTIC B4 SITTING ROOM,166,,
A1B,ANTARTIC B4 L CORRIDOR,167,,
A1C,ANTARTIC B4 HALL OF ARMORS,168,,
A1D,ANTARTIC B4 DETENTION CENTER,169,,
A1E,ANTARTIC B4 UPPER ANT FARM,170,171,
A1F,ANTARTIC B4 REACTOR CORE,172,,
A20,ANTARTIC B5 MAIN HALL DESTROYED,173,174,
A22,ANTARTIC END CINEMATIC 1,175,,
A23,ANTARTIC END CINEMATIC 2,176,,
A24,ANTARTIC END CINEMATIC 3,177,,
A25,ANTARTIC END CINEMATIC 4,178,,
